datetime,total_kwh,avg_power_kw,max_power_kw,avg_voltage
2006-12-31,697.113,1.902,9.132,241.441
2007-01-31,1150.288,1.546,9.272,240.905
2007-02-28,941.614,1.401,9.41,240.519
2007-03-31,981.045,1.319,10.67,240.514
2007-04-30,608.82,0.846,8.16,239.056
2007-05-31,733.481,0.986,7.672,235.178
2007-06-30,595.569,0.827,7.614,238.877
2007-07-31,497.248,0.668,7.24,237.678
2007-08-31,568.677,0.764,8.694,237.935
2007-09-30,698.031,0.969,8.11,239.424
2007-10-31,821.357,1.104,9.036,239.726
2007-11-30,932.035,1.294,9.326,240.869
2007-12-31,1210.093,1.626,9.686,241.726
2008-01-31,1086.231,1.46,10.162,240.646
2008-02-29,822.301,1.181,8.716,240.603
2008-03-31,926.537,1.245,8.662,241.325
2008-04-30,803.5,1.116,9.482,241.221
2008-05-31,762.081,1.024,8.944,240.368
2008-06-30,715.745,0.994,7.578,238.975
2008-07-31,591.305,0.795,7.126,239.771
2008-08-31,205.738,0.277,7.52,240.433
2008-09-30,711.13,0.988,7.318,240.125
2008-10-31,846.187,1.137,10.29,240.328
2008-11-30,998.95,1.387,10.348,240.586
2008-12-31,949.491,1.276,7.494,243.081
2009-01-31,1049.255,1.41,9.59,243.793
2009-02-28,837.96,1.247,11.122,242.403
2009-03-31,912.788,1.227,8.31,242.304
2009-04-30,821.279,1.141,7.972,241.633
2009-05-31,753.541,1.013,7.856,240.119
2009-06-30,627.942,0.872,8.76,240.96
2009-07-31,459.934,0.618,5.928,242.018
2009-08-31,488.215,0.656,7.696,241.286
2009-09-30,710.56,0.987,7.826,241.146
2009-10-31,851.488,1.144,8.708,240.894
2009-11-30,917.839,1.275,9.732,241.947
2009-12-31,1015.165,1.364,8.494,244.082
2010-01-31,1081.337,1.453,9.122,243.565
2010-02-28,924.616,1.376,8.724,242.348
2010-03-31,829.76,1.115,7.14,242.022
2010-04-30,739.642,1.027,8.32,241.783
2010-05-31,814.902,1.095,8.418,240.369
2010-06-30,698.134,0.97,7.508,240.842
2010-07-31,536.507,0.721,5.916,240.548
2010-08-31,462.328,0.621,5.578,241.237
2010-09-30,713.563,0.991,6.426,240.897
2010-10-31,865.578,1.163,6.892,242.159
2010-11-30,743.306,1.197,9.724,240.722
